refYear,partner,cmd,value,qty,unit_price,value_total_cmd,qty_total_cmd,value_share_cmd,qty_share_cmd
2019,Canada,goods_vehicles,3872983838.0,105220.0,36808.437920547425,32075232076.0,1092836.0,0.1207468687622661,0.09628160126496565
2019,Canada,passenger_vehicles,37819393693.0,1585277.0,23856.64694119703,157543160477.0,7175578.0,0.24005735049679494,0.22092673231341084
2019,China,goods_vehicles,2774057.0,291.0,9532.841924398625,32075232076.0,1092836.0,8.648595257010355e-05,0.0002662796613581544
2019,China,passenger_vehicles,1797212882.0,252364.0,7121.510524480513,157543160477.0,7175578.0,0.011407749321255862,0.035169849731965845
2019,EU,goods_vehicles,873317387.0,39961.0,21854.24256149746,32075232076.0,1092836.0,0.027227157232432055,0.03656632834203851
2019,EU,passenger_vehicles,23599315275.0,580595.0,40646.77662570294,157543160477.0,7175578.0,0.1497958731026302,0.08091264564331961
2019,Japan,goods_vehicles,980429373.0,22460.0,43652.2427871772,32075232076.0,1092836.0,0.030566555860825628,0.02055203159485961
2019,Japan,passenger_vehicles,39931095073.0,1735445.0,23009.1389084644,157543160477.0,7175578.0,0.25346130515662474,0.2418543844133532
2019,Korea,goods_vehicles,1062161.0,7.0,151737.2857142857,32075232076.0,1092836.0,3.311467856205325e-05,6.40535267871849e-06
2019,Korea,passenger_vehicles,16337646332.0,916610.0,17823.988754213897,157543160477.0,7175578.0,0.10370266968450947,0.12774023221543965
2019,Mexico,goods_vehicles,26344665260.0,924897.0,28483.89091974566,32075232076.0,1092836.0,0.8213398175133441,0.8463273537840994
2019,Mexico,passenger_vehicles,38058497222.0,2105287.0,18077.58145184006,157543160477.0,7175578.0,0.24157505223818476,0.2933961556825109
2020,Canada,goods_vehicles,1231335010.0,15500.0,79440.96838709677,25474677157.0,864577.0,0.04833564729442118,0.017927842170217343
2020,Canada,passenger_vehicles,29544150457.0,1226561.0,24086.980147746424,128055163303.0,5946372.0,0.2307142460713871,0.20627047887350472
2020,China,goods_vehicles,7224572.0,735.0,9829.349659863945,25474677157.0,864577.0,0.00028359817694548537,0.0008501267093619192
2020,China,passenger_vehicles,1689004306.0,393003.0,4297.688073627936,128055163303.0,5946372.0,0.013189661880353332,0.0660912233543411
2020,EU,goods_vehicles,810851069.0,35279.0,22983.958417188696,25474677157.0,864577.0,0.03182968969548618,0.0408049254143934
2020,EU,passenger_vehicles,17382734911.0,430329.0,40394.05875736936,128055163303.0,5946372.0,0.1357441157594679,0.07236832811670713
2020,Japan,goods_vehicles,485563773.0,10988.0,44190.36885693484,25474677157.0,864577.0,0.01906064481239463,0.012709105146216012
2020,Japan,passenger_vehicles,32994198594.0,1408280.0,23428.720562672195,128055163303.0,5946372.0,0.2576561361757057,0.23683012095442396
2020,Korea,passenger_vehicles,16554249415.0,874245.0,18935.48080343611,128055163303.0,5946372.0,0.12927436104883852,0.14702157887195755
2020,Mexico,goods_vehicles,22939702733.0,802075.0,28600.446009413085,25474677157.0,864577.0,0.9004904200207525,0.9277080005598113
2020,Mexico,passenger_vehicles,29890825620.0,1613954.0,18520.24631433114,128055163303.0,5946372.0,0.23342147906424743,0.27141826982906553
2021,Canada,goods_vehicles,1169582792.0,14628.0,79955.07191687175,30265121396.0,976219.0,0.038644576266413995,0.014984342652622005
2021,Canada,passenger_vehicles,25452099799.0,981646.0,25927.9819802658,128333984183.0,5545489.0,0.1983270445551363,0.17701703132041197
2021,China,goods_vehicles,19020110.0,1978.0,9615.829120323559,30265121396.0,976219.0,0.0006284498169075179,0.0020261846983105226
2021,China,passenger_vehicles,2136518233.0,491214.0,4349.4652697195115,128333984183.0,5545489.0,0.01664810959155913,0.0885790234188545
2021,EU,goods_vehicles,533619690.0,19859.0,26870.420967823153,30265121396.0,976219.0,0.01763150667786603,0.020342771447800136
2021,EU,passenger_vehicles,20009132401.0,404409.0,49477.46563751054,128333984183.0,5545489.0,0.15591452668116063,0.07292576001863857
2021,Japan,goods_vehicles,700633654.0,16079.0,43574.454505877235,30265121396.0,976219.0,0.023149870930060087,0.016470689466195596
